Ticker,Company Name,Region,Credit Rating,GICS Sector,Closing Price,Div/Share Avg Growth 1Y,Div/Share Avg Growth 3Y,Div/Share Avg Growth 5Y,Dividend Yield,Est EPS Growth,Current Valuation,P/E,P/OCF(FFO),P/FCFE(AFFO)
MAA:US,MID AMERICA APARTMENT COMMUNITIES INC,US,A-,Real Estate,124.88,3.06%,9.28%,8.87%,4.90%,4.05%,127.04%,34.06x,14.36x,16.52x
MAIN:US,MAIN STREET CAPITAL CORP,US,BBB-,Financials,52.63,2.92%,13.21%,13.64%,5.93%,0.89%,28.63%,13.23x,17.22x,
MAR:US,MARRIOTT INTERNATIONAL INC,US,BBB,Consumer Discretionary,331.93,9.54%,42.83%,7.13%,0.81%,12.27%,112.88%,31.93x,27.32x,33.34x
MAS:US,MASCO CORP,US,BBB,Industrials,59.12,6.90%,3.48%,19.61%,2.17%,9.40%,-1.97%,14.70x,12.12x,14.46x
MAT:US,MATTEL INC,US,BBB,Consumer Discretionary,14.36,,,,,9.55%,-30.10%,10.48x,7.61x,12.36x
MCD:US,MCDONALDS CORP,US,BBB+,Consumer Discretionary,307.14,5.75%,8.22%,7.33%,2.42%,8.20%,64.28%,24.64x,20.18x,29.75x
MCHP:US,MICROCHIP TECHNOLOGY INC,US,NR,Information Technology,65.60,7.97%,26.64%,20.75%,2.77%,34.63%,20.21%,41.63x,34.24x,35.65x
MCI:CA,MINNOVA CORP,CA,,Materials,0.24,,,,,,,,,
MCK:US,MCKESSON CORP,US,BBB+,Health Care,884.28,14.58%,14.54%,11.26%,0.37%,13.91%,50.97%,22.65x,19.84x,23.36x
MCO:US,MOODYS CORP,US,A-,Financials,440.79,10.59%,10.33%,10.92%,0.93%,12.30%,90.83%,28.63x,26.24x,29.74x
MDLZ:US,MONDELEZ INTERNATIONAL INC,US,BBB,Consumer Staples,57.54,8.38%,9.69%,10.09%,3.48%,6.94%,29.94%,19.49x,16.33x,23.37x
MDT:US,MEDTRONIC PLC,US,A,Health Care,86.63,1.45%,3.62%,5.38%,3.28%,7.53%,2.61%,15.39x,15.01x,18.79x
MET:US,METLIFE INC,US,A-,Financials,70.72,4.29%,4.32%,4.31%,3.21%,11.85%,-47.94%,7.81x,2.94x,3.35x
META:US,META PLATFORMS INC,US,AA-,Communication Services,574.46,5.00%,5.00%,5.00%,0.37%,18.48%,24.21%,22.95x,12.28x,40.67x
MGM:US,MGM RESORTS INTERNATIONAL,US,B+,Consumer Discretionary,36.68,,-100.00%,-64.55%,,6.23%,-16.95%,12.46x,3.75x,6.38x
MHK:US,MOHAWK INDUSTRIES INC,US,BBB+,Consumer Discretionary,96.80,,,,,11.50%,-29.24%,10.61x,5.69x,9.76x
MKC:US,MCCORMICK & CO INC,US,BBB,Consumer Staples,48.85,7.14%,6.75%,7.75%,3.93%,7.30%,7.35%,16.10x,11.66x,15.86x
MKTX:US,MARKETAXESS HOLDINGS INC,US,,Financials,171.46,2.70%,2.78%,4.88%,1.82%,11.24%,50.72%,22.61x,16.40x,19.41x
MLM:US,MARTIN MARIETTA MATERIALS INC,US,BBB+,Materials,597.18,5.88%,8.47%,7.68%,0.56%,17.86%,92.32%,34.35x,20.12x,34.19x
MMM:US,3M CO,US,BBB+,Industrials,144.47,-13.16%,-15.15%,-8.82%,2.16%,8.80%,17.44%,17.62x,24.84x,40.55x
MNST:US,MONSTER BEVERAGE CORP,US,,Consumer Staples,72.37,,,,,10.89%,128.89%,34.33x,32.53x,35.42x
MO:US,ALTRIA GROUP INC,US,BBB+,Consumer Staples,65.76,4.00%,4.17%,4.12%,6.45%,3.61%,-19.86%,12.02x,12.05x,12.06x
MOS:US,MOSAIC CO,US,BBB,Materials,26.17,4.76%,23.81%,42.70%,3.36%,-0.15%,-18.24%,12.26x,7.69x,
MPC:US,MARATHON PETROLEUM CORP,US,BBB,Energy,241.73,10.19%,14.59%,10.22%,1.65%,9.86%,26.67%,19.00x,8.58x,14.39x
MPT:US,MEDICAL PROPERTIES TRUST INC,US,CCC+,Real Estate,4.63,-28.26%,-33.38%,-18.57%,7.78%,66.12%,,,7.71x,10.89x
MPWR:US,MONOLITHIC POWER SYSTEMS INC,US,,Information Technology,"1,118.49",24.80%,27.71%,25.63%,0.72%,20.08%,198.10%,59.86x,60.24x,72.11x
MRK:US,MERCK & CO INC,US,A+,Health Care,120.87,5.13%,5.42%,6.78%,2.81%,11.65%,0.60%,15.09x,18.14x,22.83x
MS:US,MORGAN STANLEY,US,A-,Financials,165.81,8.45%,9.28%,23.67%,2.41%,8.95%,5.30%,15.80x,,
MSCI:US,MSCI INC,US,BBB-,Financials,544.78,12.50%,16.32%,19.89%,1.51%,12.53%,103.55%,30.53x,26.01x,27.19x
MSFT:US,MICROSOFT CORP,US,AAA,Information Technology,373.46,10.58%,10.22%,10.24%,0.97%,17.11%,37.48%,23.53x,16.98x,39.42x
MSI:US,MOTOROLA SOLUTIONS INC,US,BBB,Information Technology,438.96,11.17%,11.29%,11.24%,1.10%,8.51%,86.01%,27.90x,25.59x,28.20x
MTB:US,M&T BANK CORP,US,BBB+,Financials,210.16,6.54%,5.92%,5.34%,2.85%,11.30%,-19.60%,12.06x,,
MTD:US,METTLER TOLEDO INTERNATIONAL INC,US,NR,Health Care,"1,259.94",,,,,10.17%,92.30%,28.84x,26.78x,29.90x
MU:US,MICRON TECHNOLOGY INC,US,BBB,Information Technology,366.24,,3.61%,3.61%,0.14%,34.40%,-71.60%,9.77x,9.19x,18.26x
MXIM:US,MAXIM INTEGRATED PRODUCTS LLC,US,NR,,103.14,-75.00%,-17.57%,-4.90%,,,,,,
NCLH:US,NORWEGIAN CRUISE LINE HOLDINGS LTD,US,,Consumer Discretionary,18.93,,,,,11.35%,-41.92%,8.71x,4.12x,
NDAQ:US,NASDAQ INC,US,BBB+,Financials,86.65,11.70%,10.42%,10.19%,1.25%,13.21%,61.21%,24.18x,21.36x,24.12x
NEE:US,NEXTERA ENERGY INC,US,A-,Utilities,93.15,10.00%,10.05%,10.11%,2.68%,8.50%,63.94%,24.59x,14.55x,
NEM:US,NEWMONT CORP,US,BBB+,Materials,114.05,,-21.59%,9.35%,0.91%,15.12%,-1.74%,14.86x,11.34x,15.90x
NFLX:US,NETFLIX INC,US,A,Communication Services,98.66,,,,,21.18%,73.59%,36.77x,40.14x,43.15x
NI:US,NISOURCE INC,US,BBB+,Utilities,47.49,5.66%,6.01%,5.93%,2.53%,8.39%,63.26%,24.49x,9.61x,
NKE:US,NIKE INC,US,A+,Consumer Discretionary,44.19,8.45%,9.91%,10.62%,3.71%,19.69%,39.70%,27.50x,20.54x,29.06x
NLSN:US,NIELSEN HOLDINGS LTD,US,NR,,27.98,,-32.84%,-16.82%,0.86%,,,,,
NLY:US,ANNALY CAPITAL MANAGEMENT INC,US,,Financials,21.37,7.69%,-6.15%,-4.35%,13.10%,-0.16%,-51.48%,7.28x,7.28x,6.68x
NNN:US,NNN REIT INC,US,BBB+,Real Estate,42.77,3.06%,3.00%,2.66%,5.61%,2.49%,53.66%,20.72x,12.45x,12.33x
NOC:US,NORTHROP GRUMMAN CORP,US,BBB+,Industrials,702.50,11.68%,9.98%,9.66%,1.32%,6.93%,75.14%,26.27x,20.94x,30.45x
NOV:US,NOV INC,US,BBB,Energy,18.78,85.46%,40.99%,84.59%,1.68%,46.16%,-26.21%,34.06x,6.20x,9.12x
NOW:US,SERVICENOW INC,US,A,Information Technology,102.00,,,,,19.85%,39.59%,27.71x,18.57x,21.92x
NRG:US,NRG ENERGY INC,US,BB,Utilities,152.69,7.98%,7.93%,7.96%,1.24%,18.19%,0.17%,18.22x,13.25x,21.55x
NSC:US,NORFOLK SOUTHERN CORP,US,BBB+,Industrials,288.00,,2.96%,7.75%,1.88%,6.37%,54.79%,23.22x,15.14x,29.55x
NTAP:US,NETAPP INC,US,BBB+,Information Technology,103.35,4.00%,1.33%,1.63%,2.01%,8.24%,-13.04%,13.04x,12.85x,13.98x
NTRS:US,NORTHERN TRUST CORP,US,A+,Financials,142.25,3.33%,2.26%,2.07%,2.25%,12.31%,1.94%,15.29x,,
NUE:US,NUCOR CORP,US,A-,Materials,172.46,1.84%,3.22%,6.64%,1.30%,17.49%,11.83%,19.56x,11.03x,112.29x
NVDA:US,NVIDIA CORP,US,AA-,Information Technology,177.39,17.65%,43.38%,26.03%,0.02%,36.45%,-8.77%,33.25x,37.17x,43.35x
NVR:US,NVR INC,US,BBB+,Consumer Discretionary,"6,663.14",,,,,8.67%,4.35%,15.65x,18.34x,18.28x
NWL:US,NEWELL BRANDS INC,US,B+,Consumer Discretionary,3.39,,-29.51%,-17.71%,8.26%,6.39%,-60.35%,5.95x,4.61x,22.50x
NWN:US,NORTHWEST NATURAL HOLDING CO,US,A-,Utilities,54.66,0.51%,0.52%,0.52%,3.60%,4.72%,23.10%,18.46x,8.12x,
NWS:US,NEWS CORP,US,BBB-,Communication Services,28.11,,,,0.71%,15.95%,73.01%,27.60x,14.51x,21.45x
NWSA:US,NEWS CORP,US,BBB-,Communication Services,24.40,,,,0.82%,15.95%,50.17%,23.96x,12.60x,18.62x
NXPI:US,NXP SEMICONDUCTORS NV,US,BBB+,Information Technology,194.55,,6.67%,24.04%,2.08%,18.61%,-15.24%,15.77x,15.99x,18.30x
O:US,REALTY INCOME CORP,US,A-,Real Estate,62.21,11.57%,5.61%,5.27%,5.22%,15.31%,216.03%,48.39x,14.46x,14.42x
ODFL:US,OLD DOMINION FREIGHT LINE INC,US,,Industrials,198.00,7.69%,23.68%,30.72%,0.59%,13.42%,170.40%,40.56x,30.40x,41.56x
OHI:US,OMEGA HEALTHCARE INVESTORS INC,US,BBB-,Real Estate,45.00,,,,5.96%,1.44%,103.22%,23.11x,14.36x,15.03x
OKE:US,ONEOK INC,US,BBB,Energy,88.30,4.04%,3.28%,1.97%,4.85%,7.29%,7.57%,16.14x,9.60x,20.91x
OLP:US,ONE LIBERTY PROPERTIES INC,US,,Real Estate,22.05,,,,8.16%,-4.46%,45.71%,21.86x,11.44x,11.44x
OMC:US,OMNICOM GROUP INC,US,BBB+,Communication Services,74.81,3.57%,1.19%,2.25%,4.28%,16.20%,-49.80%,8.13x,4.94x,5.40x
ORCL:US,ORACLE CORP,US,BBB,Information Technology,146.38,6.25%,10.05%,12.31%,1.37%,19.26%,4.65%,20.16x,17.13x,
ORI:US,OLD REPUBLIC INTERNATIONAL CORP,US,BBB+,Financials,40.39,198.11%,52.44%,83.30%,3.12%,5.42%,-16.19%,12.57x,8.82x,8.82x
ORLY:US,OREILLY AUTOMOTIVE INC,US,BBB,Consumer Discretionary,91.42,,,,,9.95%,101.26%,30.19x,27.02x,46.01x
OTIS:US,OTIS WORLDWIDE CORP,US,BBB,Industrials,77.86,9.27%,14.19%,23.31%,2.16%,9.21%,25.95%,18.89x,18.50x,20.44x
OXY:US,OCCIDENTAL PETROLEUM CORP,US,BB+,Energy,62.97,9.09%,23.26%,234.93%,1.65%,11.58%,61.65%,24.25x,5.91x,12.81x
PAYC:US,PAYCOM SOFTWARE INC,US,,Industrials,123.56,,16.67%,16.67%,1.21%,9.79%,-13.36%,13.00x,10.09x,16.10x
PAYX:US,PAYCHEX INC,US,BBB+,Industrials,91.70,10.14%,13.26%,10.27%,4.71%,7.13%,12.88%,16.93x,13.59x,15.04x
PBCT:US,PEOPLES UNITED FINANCIAL INC,US,NR,,19.41,1.39%,1.41%,1.43%,3.76%,,,,,
PCAR:US,PACCAR INC,US,A+,Industrials,118.32,-34.77%,5.12%,21.27%,1.12%,13.11%,53.29%,22.99x,14.91x,20.85x
PEG:US,PUBLIC SERVICE ENTERPRISE GROUP INC,US,BBB+,Utilities,81.82,5.00%,5.27%,5.16%,3.28%,7.25%,31.97%,19.80x,11.94x,
PENN:US,PENN ENTERTAINMENT INC,US,B,Consumer Discretionary,14.77,,,,,34.46%,,,3.93x,408.01x
PEP:US,PEPSICO INC,US,A+,Consumer Staples,157.01,5.49%,7.52%,6.94%,3.62%,6.29%,26.70%,19.00x,16.49x,25.94x
PFE:US,PFIZER INC,US,A,Health Care,28.32,2.38%,2.44%,3.65%,6.07%,-8.77%,-40.13%,8.98x,11.96x,14.89x
PFG:US,PRINCIPAL FINANCIAL GROUP INC,US,A-,Financials,90.10,8.07%,6.42%,6.62%,3.55%,9.97%,-29.79%,10.53x,,5.43x
PG:US,PROCTER & GAMBLE CO,US,AA-,Consumer Staples,143.12,6.47%,4.99%,6.14%,2.95%,5.31%,37.57%,20.63x,18.35x,23.68x
PGR:US,PROGRESSIVE CORP,US,A,Financials,195.25,326.09%,171.20%,112.27%,0.20%,-3.01%,-26.12%,11.08x,7.06x,7.24x
PH:US,PARKER HANNIFIN CORP,US,BBB+,Industrials,908.06,10.21%,14.98%,13.93%,0.79%,9.62%,101.09%,30.16x,29.85x,34.36x
PHM:US,PULTEGROUP INC,US,BBB+,Consumer Discretionary,117.29,12.20%,14.75%,13.06%,0.89%,7.51%,-28.27%,10.76x,13.57x,12.84x
PKG:US,PACKAGING CORPORATION OF AMERICA,US,BBB,Materials,204.46,,1.75%,8.54%,2.45%,9.89%,35.37%,20.31x,11.43x,24.63x
PLD:US,PROLOGIS INC,US,A,Real Estate,133.77,5.21%,8.56%,11.94%,3.20%,4.06%,154.47%,38.17x,22.71x,28.94x
PM:US,PHILIP MORRIS INTERNATIONAL INC,US,A-,Consumer Staples,158.10,6.42%,3.84%,3.55%,3.72%,9.70%,35.66%,20.35x,19.26x,21.82x
PNC:US,PNC FINANCIAL SERVICES GROUP INC,US,A-,Financials,211.70,4.76%,4.71%,7.65%,3.21%,11.69%,-17.00%,12.45x,,
PNR:US,PENTAIR PLC,US,BBB-,Industrials,85.82,8.70%,6.00%,5.65%,1.26%,8.25%,13.78%,17.07x,16.61x,18.19x
PNW:US,PINNACLE WEST CAPITAL CORP,US,BBB+,Utilities,102.70,1.70%,1.73%,2.51%,3.54%,7.55%,37.99%,20.70x,7.26x,
POOL:US,POOL CORP,US,,Consumer Discretionary,202.93,5.32%,9.26%,17.09%,2.46%,7.06%,25.27%,18.79x,19.45x,22.77x
POR:US,PORTLAND GENERAL ELECTRIC CO,US,BBB+,Utilities,53.67,5.06%,5.10%,5.54%,3.91%,7.07%,13.74%,17.06x,5.44x,
PPG:US,PPG INDUSTRIES INC,US,BBB+,Materials,103.24,4.51%,4.73%,5.78%,2.75%,7.64%,-10.15%,13.48x,11.87x,19.55x
PPL:US,PPL CORP,US,A-,Utilities,38.64,5.83%,7.61%,-4.89%,2.95%,8.00%,39.60%,20.94x,10.48x,
PRGO:US,PERRIGO CO PLC,US,B+,Health Care,10.85,5.07%,3.72%,5.23%,10.69%,1.01%,-60.21%,4.19x,6.27x,8.27x
PRU:US,PRUDENTIAL FINANCIAL INC,US,A,Financials,97.58,3.85%,4.00%,4.18%,5.74%,4.97%,-54.68%,6.80x,4.87x,6.39x
PSA:US,PUBLIC STORAGE,US,A,Real Estate,280.35,,-14.42%,24.22%,4.28%,4.38%,102.56%,30.38x,16.54x,17.78x
PSX:US,PHILLIPS 66,US,BBB+,Energy,176.21,5.56%,7.45%,5.74%,2.88%,19.89%,6.05%,21.09x,12.60x,20.56x
PWR:US,QUANTA SERVICES INC,US,BBB,Industrials,560.63,11.11%,12.63%,14.91%,0.08%,18.52%,167.14%,49.48x,36.54x,50.85x
PXD:US,PIONEER NATURAL RESOURCES CO,US,AA-,,269.62,-45.13%,145.93%,159.23%,4.06%,-4.95%,-30.11%,10.48x,6.80x,13.49x
PYPL:US,PAYPAL HOLDINGS INC,US,A-,Financials,45.34,,,,1.24%,7.18%,-43.03%,8.55x,6.66x,7.63x
QCOM:US,QUALCOMM INC,US,A,Information Technology,126.80,5.46%,6.77%,6.51%,2.81%,2.35%,-16.88%,10.98x,9.73x,10.71x
QRVO:US,QORVO INC,US,BBB-,Information Technology,78.70,,,,,11.06%,-19.55%,12.07x,9.26x,11.90x
REG:US,REGENCY CENTERS CORP,US,A-,Real Estate,76.98,5.71%,4.37%,3.83%,3.92%,-1.01%,88.35%,28.25x,16.40x,20.00x
REGN:US,REGENERON PHARMACEUTICALS INC,US,BBB+,Health Care,761.85,,,,0.49%,12.03%,13.34%,17.00x,16.26x,19.37x
REXR:US,REXFORD INDUSTRIAL REALTY INC,US,BBB+,Real Estate,33.12,2.99%,11.17%,15.28%,5.25%,5.56%,142.86%,36.43x,13.83x,16.43x
RF:US,REGIONS FINANCIAL CORP,US,BBB+,Financials,26.47,5.10%,11.80%,10.81%,4.00%,10.62%,-26.41%,11.04x,,
RHI:US,HALF ROBERT INC,US,,Industrials,25.29,11.32%,11.12%,11.66%,9.33%,32.91%,-42.97%,18.77x,7.98x,9.94x
RJF:US,RAYMOND JAMES FINANCIAL INC,US,A-,Financials,142.20,10.17%,15.27%,15.34%,1.52%,13.41%,-17.08%,12.44x,,
RL:US,LAUREN RALPH CORP,US,A-,Consumer Discretionary,348.02,10.00%,23.38%,-7.46%,1.05%,9.75%,42.59%,21.39x,13.98x,20.25x
RMD:US,RESMED INC,US,NR,Health Care,224.09,10.42%,8.09%,6.39%,1.07%,10.31%,39.65%,20.95x,19.28x,21.24x
ROK:US,ROCKWELL AUTOMATION INC,US,A-,Industrials,365.02,4.80%,5.36%,5.13%,1.51%,12.63%,114.90%,32.23x,26.08x,30.48x
ROL:US,ROLLINS INC,US,BBB,Industrials,53.93,10.16%,16.54%,16.12%,1.35%,11.54%,219.38%,47.91x,37.26x,39.12x
ROP:US,ROPER TECHNOLOGIES INC,US,BBB+,Information Technology,357.88,10.00%,9.99%,9.99%,1.02%,7.61%,17.17%,17.58x,14.82x,15.23x
ROST:US,ROSS STORES INC,US,A-,Consumer Discretionary,219.98,10.20%,9.32%,67.35%,0.81%,11.59%,117.71%,32.66x,23.44x,32.64x
RSG:US,REPUBLIC SERVICES INC,US,A-,Industrials,223.19,8.24%,8.05%,7.60%,1.12%,8.08%,110.30%,31.54x,15.99x,28.51x
RTX:US,RTX CORP,US,BBB+,Industrials,196.21,7.66%,7.32%,7.52%,1.39%,9.74%,103.79%,30.57x,24.51x,32.88x
RVTY:US,REVVITY INC,US,BBB,Health Care,88.94,,,,0.31%,8.81%,15.23%,17.28x,16.76x,19.28x
SBUX:US,STARBUCKS CORP,US,BBB+,Consumer Discretionary,90.37,7.02%,7.58%,8.28%,2.74%,21.65%,88.63%,40.83x,20.74x,38.96x
SCG:US,SCANA CORP,US,BBB+,,47.78,-59.85%,-15.94%,-8.11%,1.04%,,,,,
SCHW:US,SCHWAB CHARLES CORP,US,A-,Financials,93.77,8.00%,9.02%,8.74%,1.37%,16.54%,10.66%,18.31x,12.93x,11.70x
SEE:US,SEALED AIR CORP,US,BB+,Materials,42.08,,,4.80%,1.90%,4.99%,-16.70%,12.49x,9.71x,13.52x
SHW:US,SHERWIN WILLIAMS CO,US,BBB,Materials,318.00,10.49%,9.84%,12.35%,1.01%,9.49%,83.77%,27.57x,23.06x,29.42x
SIVBQ:US,SVB FINANCIAL GROUP,US,NR,,0.01,,,,,,,,,
SJM:US,SMUCKER JM CO,US,BBB,Consumer Staples,95.47,2.38%,3.58%,4.28%,4.61%,8.69%,-29.95%,10.51x,7.51x,10.52x
SLB:US,SLB LTD,US,A,Energy,49.44,3.64%,22.49%,10.93%,2.39%,8.57%,13.83%,17.08x,10.98x,15.24x
SLG:US,SL GREEN REALTY CORP,US,BB,Real Estate,36.06,-5.82%,-8.39%,-11.92%,6.85%,4.64%,,,6.63x,12.53x
SNA:US,SNAP ON INC,US,A-,Industrials,365.58,14.77%,14.65%,14.66%,2.67%,5.70%,25.65%,18.85x,17.51x,18.67x
SNPS:US,SYNOPSYS INC,US,BBB,Information Technology,395.95,,,,,17.13%,70.70%,29.24x,38.58x,44.46x
SO:US,SOUTHERN CO,US,A-,Utilities,97.45,2.80%,2.88%,2.97%,3.04%,7.74%,48.79%,22.32x,10.72x,
SPG:US,SIMON PROPERTY GROUP INC,US,A,Real Estate,188.67,5.56%,7.42%,7.54%,4.66%,-18.79%,2.87%,15.43x,15.03x,16.59x
SPGI:US,S&P GLOBAL INC,US,,Financials,431.16,5.50%,5.01%,7.55%,0.90%,12.04%,57.28%,23.59x,22.65x,23.65x
SRE:US,SEMPRA,US,BBB+,Utilities,99.20,4.03%,4.06%,4.30%,2.65%,8.29%,37.82%,20.67x,14.14x,
STE:US,STERIS PLC /IE/,US,BBB,Health Care,218.71,9.85%,9.69%,9.00%,1.15%,9.47%,42.87%,21.43x,17.37x,25.01x
STT:US,STATE STREET CORP,US,A,Financials,128.80,10.25%,10.06%,8.49%,2.61%,13.60%,-19.53%,12.07x,,
STX:US,SEAGATE TECHNOLOGY HOLDINGS PLC,US,BB+,Information Technology,429.36,2.14%,1.08%,2.09%,0.69%,43.04%,-15.31%,36.45x,38.72x,46.25x
STZ:US,CONSTELLATION BRANDS INC,US,BBB,Consumer Staples,151.20,13.48%,10.00%,6.27%,2.70%,9.71%,-13.81%,12.93x,10.06x,17.61x
SWK:US,STANLEY BLACK & DECKER INC,US,BBB+,Industrials,68.64,1.23%,1.24%,3.53%,4.84%,14.15%,-5.41%,14.19x,10.36x,14.55x
SWKS:US,SKYWORKS SOLUTIONS INC,US,BBB-,Information Technology,55.19,2.56%,6.96%,9.14%,5.15%,4.34%,-30.77%,10.38x,7.06x,8.44x
SYF:US,SYNCHRONY FINANCIAL,US,BBB-,Financials,68.42,15.00%,8.61%,5.62%,1.75%,8.92%,-50.85%,7.37x,,3.11x
SYK:US,STRYKER CORP,US,BBB+,Health Care,331.54,4.94%,6.25%,7.64%,1.06%,11.18%,58.16%,23.72x,24.87x,29.41x
SYY:US,SYSCO CORP,US,BBB,Consumer Staples,71.16,2.00%,2.77%,3.98%,3.04%,7.86%,4.05%,15.61x,13.32x,17.15x
T:US,AT&T INC,US,BBB,Communication Services,28.33,,-3.13%,-6.28%,3.92%,10.79%,-12.78%,13.08x,4.99x,10.62x
TAP:US,MOLSON COORS BEVERAGE CO,US,BBB,Consumer Staples,44.04,6.82%,7.34%,32.97%,4.36%,1.84%,-30.97%,8.40x,4.84x,8.12x
TDG:US,TRANSDIGM GROUP INC,US,,Industrials,"1,167.00",371.43%,135.71%,57.14%,,14.50%,104.11%,30.62x,28.60x,32.65x
TDY:US,TELEDYNE TECHNOLOGIES INC,US,BBB,Information Technology,623.13,,,,,8.50%,85.00%,27.75x,23.88x,26.99x
TEL:US,TE CONNECTIVITY PLC,US,A-,Information Technology,209.07,9.68%,8.67%,7.68%,1.49%,13.49%,40.65%,21.10x,14.78x,19.10x
