Ticker,Company Name,Region,Credit Rating,GICS Sector,Closing Price,Div/Share Avg Growth 1Y,Div/Share Avg Growth 3Y,Div/Share Avg Growth 5Y,Dividend Yield,Est EPS Growth,Current Valuation,P/E,P/OCF(FFO),P/FCFE(AFFO)
WRK:US,WESTROCK CO,US,BBB,,51.51,10.00%,-3.40%,-6.26%,2.35%,7.04%,-12.05%,13.19x,6.57x,37.06x
WST:US,WEST PHARMACEUTICAL SERVICES INC,US,,Health Care,254.80,4.94%,5.20%,5.51%,0.35%,11.98%,127.05%,34.06x,24.53x,39.12x
WU:US,WESTERN UNION CO,US,BBB,Financials,8.71,,,0.89%,10.79%,6.58%,-67.06%,4.94x,5.04x,5.42x
WY:US,WEYERHAEUSER CO,US,BBB,Real Estate,24.43,-10.64%,-25.84%,27.55%,3.44%,78.42%,42.32%,111.60x,30.48x,44.01x
WYNN:US,WYNN RESORTS LTD,US,BB-,Consumer Discretionary,102.03,,16.67%,-22.22%,0.98%,20.98%,10.37%,23.15x,7.85x,18.90x
XEL:US,XCEL ENERGY INC,US,BBB+,Utilities,80.74,72.15%,19.26%,14.15%,2.94%,9.34%,38.71%,20.81x,10.24x,
XLNX:US,XILINX INC,US,NR,,194.92,-22.97%,-5.78%,-0.97%,0.76%,,,,,
XOM:US,EXXON MOBIL CORP,US,AA-,Energy,160.69,4.17%,4.06%,2.84%,2.56%,11.65%,42.18%,21.33x,12.79x,25.22x
XRAY:US,DENTSPLY SIRONA INC,US,BBB-,Health Care,11.63,,8.76%,10.01%,5.50%,4.12%,-50.29%,7.46x,8.65x,18.78x
XYL:US,XYLEM INC,US,BBB,Industrials,121.26,11.11%,10.07%,9.01%,1.42%,9.34%,55.86%,23.38x,23.15x,32.60x
YUM:US,YUM BRANDS INC,US,BB+,Consumer Discretionary,156.09,5.97%,7.62%,8.65%,1.92%,11.49%,67.56%,25.13x,21.48x,26.05x
ZBH:US,ZIMMER BIOMET HOLDINGS INC,US,BBB,Health Care,90.89,,,0.62%,1.06%,5.91%,-26.56%,11.02x,10.59x,14.77x
ZBRA:US,ZEBRA TECHNOLOGIES CORP,US,BB+,Information Technology,202.84,,,,,11.30%,-17.48%,12.38x,10.88x,12.14x
ZION:US,ZIONS BANCORPORATION NA,US,BBB+,Financials,58.13,6.02%,3.68%,5.33%,3.10%,4.99%,-36.16%,9.58x,,
ZTS:US,ZOETIS INC,US,BBB+,Health Care,117.94,15.74%,15.44%,20.27%,1.80%,8.40%,19.77%,17.96x,17.26x,21.85x
